Name,Current price,Change(%),Open,High,Low,Volume,date
1-800-FLOWERS.COM INC.,5.34,-4.64%,5.4,5.51,5.22,"44,925",4/7/2025
10X GENOMICS INC.,7.12,-4.69%,7.13,7.24,6.78,"244,186",4/7/2025
111 INC. ADS,7.1,-3.14%,7.23,7.23,6.33,"11,155",4/7/2025
17 EDUCATION & TECHNOLOGY GROUP,1.64,0.00%,1.65,1.69,1.5,"111,123",4/7/2025
180 LIFE SCIENCES,0.76,-12.24%,0.84,0.84,0.75,"5,937",4/7/2025
1ST SOURCE CORP.,52.67,-3.55%,52.94,52.94,52.14,"3,980",4/7/2025
1STDIBS.COM INC.,2.52,-5.97%,2.61,2.65,2.5,"10,759",4/7/2025
22ND CENTURY GROUP INC,0.97,-7.62%,1.04,1.05,0.97,"15,188",4/7/2025
2SEVENTY BIO INC.,4.92,-0.61%,4.93,4.95,4.92,"350,260",4/7/2025
3 E NETWORK TECHNOLOGY GROUP LTD,3.54,-3.54%,3.47,3.67,3.47,"28,126",4/7/2025
36KR HOLDINGS INC. ADS,3.89,0.00%,3.84,3.92,3.72,"6,773",4/7/2025
374WATER INC.,0.2534,-7.89%,0.28,0.2835,0.2506,"56,456",4/7/2025
4D MOLECULAR THERAPEUTICS INC.,2.49,-10.11%,2.64,2.64,2.47,"106,833",4/7/2025
5E ADVANCED MATERIALS INC.,3.2,-8.57%,3.22,3.3,3.14,"2,670",4/7/2025
60 DEGREES PHARMACEUTICALS,1.72,-2.82%,1.64,1.72,1.61,"5,011",4/7/2025
89BIO INC.,5.37,-6.93%,5.38,5.57,5.21,"142,998",4/7/2025
8X8 INC,1.68,-2.33%,1.63,1.68,1.58,"205,637",4/7/2025
908 DEVICES INC.,3.72,-2.36%,3.69,3.77,3.61,"87,829",4/7/2025
9F INC. ADS,1.19,-7.75%,1.26,1.26,1.18,"6,416",4/7/2025
A SPAC III ACQUISITION,10.21,0.00%,10.21,10.21,10.21,"2,168",4/7/2025
A SPAC III ACQUISITION,0.13,0.00%,0.145,0.1468,0.1278,"98,171",4/7/2025
A-MARK PRECIOUS METALS INC.,21.46,-3.68%,21.55,22.06,21.05,"13,070",4/7/2025
A2Z CUST2MATE SOLUTIONS,6.39,-6.72%,6.39,6.4,6.25,"5,793",4/7/2025
AAON INC.,72.23,-2.65%,71.21,72.84,68.98,"22,721",4/7/2025
AARDVARK THERAPEUTICS INC.,7.31,-10.42%,8.27,8.27,7.22,"2,211",4/7/2025
ABACUS GLOBAL MANAGEMENT,25.1,-0.20%,25.14,25.14,25,"2,898",4/7/2025
ABACUS GLOBAL MANAGEMENT INC.,6.89,-2.68%,6.98,7,6.7,"19,148",4/7/2025
ABCELLERA BIOLOGICS INC.,1.93,-7.66%,1.96,1.99,1.89,"564,005",4/7/2025
ABEONA THERAPEUTICS INC.,4.48,-0.88%,4.33,4.48,4.26,"161,781",4/7/2025
ABITS GROUP INC,1.35,-31.82%,1.68,1.93,1.35,"13,882",4/7/2025
ABIVAX SA ADS,5.15,-3.20%,5.28,5.34,5.05,"13,636",4/7/2025
ABLE VIEW GLOBAL INC.,0.88,-0.07%,0.88,0.88,0.88,"1,155",4/7/2025
ABOVE FOOD INGREDIENTS INC.,0.475,-3.22%,0.5,0.5,0.4501,"5,638",4/7/2025
ABPRO HOLDINGS INC,0.34,0.00%,0.35,0.35,0.34,"2,002",4/7/2025
ABSCI CORP.,2.14,-6.14%,2.1,2.14,2.01,"438,756",4/7/2025
ABVC BIOPHARMA INC.,0.88,18.60%,0.74,0.88,0.7348,"51,480",4/7/2025
AC IMMUNE SA,1.54,-7.23%,1.6,1.61,1.5,"41,722",4/7/2025
ACACIA RESEARCH,2.94,-0.34%,2.87,2.96,2.84,"23,295",4/7/2025
ACADEMY SPORTS AND OUTDOORS,35.24,-6.28%,35.2,35.94,34.08,"133,345",4/7/2025
ACADIA HEALTHCARE CO.,25.86,-5.52%,26.36,26.36,25.41,"72,059",4/7/2025
ACADIA PHARMACEUTICALS INC.,14.55,-5.40%,14.82,14.86,14.43,"106,243",4/7/2025
ACCELERATE DIAGNOSTICS INC.,0.65,0.00%,0.694,0.694,0.65,"1,680",4/7/2025
ACCOLADE INC.,7.03,0.00%,7.03,7.03,7.02,"205,064",4/7/2025
ACCURAY INC.,1.48,-5.73%,1.53,1.53,1.43,"175,510",4/7/2025
ACELYRIN INC.,2.28,-6.17%,2.35,2.39,2.22,"68,853",4/7/2025
ACHIEVE LIFE SCIENCES INC.,2.14,-1.83%,2.17,2.18,2.04,"53,147",4/7/2025
ACHILLES THERAPEUTICS PLC ADS,1.48,0.00%,1.48,1.5,1.45,"1,204,122",4/7/2025
ACI WORLDWIDE INC.,48.5,-3.35%,47.81,48.62,47,"54,161",4/7/2025
ACLARION INC.,9.77,-9.70%,10.47,10.47,8.99,"11,010",4/7/2025
ACLARIS THERAPEUTICS INC.,1.31,-6.43%,1.34,1.35,1.26,"44,874",4/7/2025
ACM RESEARCH INC.,20.28,-0.10%,19.16,20.31,18.69,"187,950",4/7/2025
ACNB CORP.,36.44,-5.42%,37.05,37.05,36.4,"4,455",4/7/2025
ACRIVON THERAPEUTICS INC.,1.5,-0.66%,1.47,1.52,1.43,"18,957",4/7/2025
ACTELIS NETWORKS INC.,0.5577,-8.60%,0.57,0.57,0.54,"20,800",4/7/2025
