Name,Current price,Change(%),Open,High,Low,Volume,date
1-800-FLOWERS.COM INC.,5.17,-0.96%,5.22,5.27,5.13,"21,432",4/24/2025
10X GENOMICS INC.,8.02,0.00%,8.27,8.32,7.9,"167,732",4/24/2025
111 INC. ADS,8.42,0.00%,8.7,8.7,8.31,"12,092",4/24/2025
17 EDUCATION & TECHNOLOGY GROUP,1.88,3.30%,1.89,1.97,1.83,"12,455",4/24/2025
180 LIFE SCIENCES,0.8868,3.00%,0.887,0.887,0.855,"2,566",4/24/2025
1ST SOURCE CORP.,58.72,3.11%,59.54,59.54,58.12,"3,277",4/24/2025
1STDIBS.COM INC.,2.49,-0.80%,2.5,2.67,2.49,"1,179",4/24/2025
22ND CENTURY GROUP INC,0.8179,-0.98%,0.83,0.83,0.7601,"40,289",4/24/2025
2SEVENTY BIO INC.,4.99,0.00%,4.98,4.99,4.98,"85,658",4/24/2025
3 E NETWORK TECHNOLOGY GROUP LTD,3.4,-2.58%,3.5,3.5,3.34,"4,100",4/24/2025
36KR HOLDINGS INC. ADS,4.01,0.50%,4,4.01,4,"2,035",4/24/2025
374WATER INC.,0.2772,-1.84%,0.28,0.28,0.27,"11,670",4/24/2025
4D MOLECULAR THERAPEUTICS INC.,3.42,0.00%,3.41,3.51,3.34,"19,424",4/24/2025
5E ADVANCED MATERIALS INC.,5.01,2.87%,4.56,5.01,4.56,338,4/24/2025
60 DEGREES PHARMACEUTICALS,3.11,3.32%,2.95,3.24,2.95,"25,754",4/24/2025
89BIO INC.,6.72,1.51%,6.61,6.75,6.55,"20,381",4/24/2025
8X8 INC,1.7,3.03%,1.65,1.71,1.65,"46,615",4/24/2025
908 DEVICES INC.,5.36,-0.74%,5.4,5.52,5.33,"16,596",4/24/2025
9F INC. ADS,1.08,0.00%,1.07,1.09,1.01,"3,648",4/24/2025
A SPAC III ACQUISITION,0.124,0.00%,0.1239,0.124,0.1239,266,4/24/2025
A SPAC III ACQUISITION,10.21,0.00%,10.21,10.21,10.21,200,4/24/2025
A-MARK PRECIOUS METALS INC.,24.78,-0.12%,24.88,24.92,24.59,"6,966",4/24/2025
A2Z CUST2MATE SOLUTIONS,7.56,3.00%,7.43,7.58,7.43,"3,961",4/24/2025
AAON INC.,82.95,1.08%,82.11,83.64,82.11,"11,241",4/24/2025
AARDVARK THERAPEUTICS INC.,8.55,0.35%,8.55,8.55,8.55,104,4/24/2025
ABACUS GLOBAL MANAGEMENT,25.49,-0.55%,25.49,25.49,25.49,453,4/24/2025
ABACUS GLOBAL MANAGEMENT INC.,8.35,0.60%,8.27,8.41,8.24,"12,449",4/24/2025
ABCELLERA BIOLOGICS INC.,2.58,1.98%,2.54,2.59,2.52,"119,901",4/24/2025
ABEONA THERAPEUTICS INC.,5.22,0.00%,5.21,5.27,5.2,"69,012",4/24/2025
ABITS GROUP INC,2.55,-0.78%,2.85,2.85,2.49,"2,998",4/24/2025
ABIVAX SA ADS,6.93,2.51%,7,7.03,6.83,"16,161",4/24/2025
ABLE VIEW GLOBAL INC.,1.23,7.89%,1.12,1.23,1.12,"23,661",4/24/2025
ABOVE FOOD INGREDIENTS INC.,0.5612,3.33%,0.6,0.6,0.54,"22,514",4/24/2025
ABPRO HOLDINGS INC,0.33,1.79%,0.35,0.3596,0.33,"39,526",4/24/2025
ABSCI CORP.,3.23,1.25%,3.2,3.23,3.13,"179,263",4/24/2025
ABVC BIOPHARMA INC.,0.85,-2.97%,0.86,0.8664,0.85,"2,600",4/24/2025
AC IMMUNE SA,1.59,0.63%,1.6,1.6,1.58,"12,579",4/24/2025
ACACIA RESEARCH,2.99,0.34%,3.02,3.02,2.96,"8,577",4/24/2025
ACADEMY SPORTS AND OUTDOORS,37.42,-0.51%,37.71,37.71,36.99,"30,219",4/24/2025
ACADIA HEALTHCARE CO.,21.43,1.08%,21.38,21.75,21.38,"28,984",4/24/2025
ACADIA PHARMACEUTICALS INC.,14.58,-0.27%,14.6,14.63,14.44,"29,009",4/24/2025
ACCELERATE DIAGNOSTICS INC.,0.5502,-1.96%,0.55,0.56,0.55,"10,100",4/24/2025
ACCOLADE INC.,7.02,0.00%,7.03,7.03,7.01,"4,585,688",4/24/2025
ACCURAY INC.,1.55,1.31%,1.54,1.56,1.54,"4,180",4/24/2025
ACELYRIN INC.,2.24,-0.44%,2.31,2.31,2.24,"3,173",4/24/2025
ACHIEVE LIFE SCIENCES INC.,2.43,0.00%,2.45,2.49,2.43,"10,342",4/24/2025
ACHILLES THERAPEUTICS PLC ADS,1.48,0.00%,1.48,1.5,1.45,"1,204,122",4/24/2025
ACI WORLDWIDE INC.,52.4,1.45%,51.84,52.51,51.84,"12,033",4/24/2025
ACLARION INC.,7.36,-4.42%,7.75,7.81,7.36,"6,149",4/24/2025
ACLARIS THERAPEUTICS INC.,1.27,6.72%,1.19,1.28,1.19,"99,038",4/24/2025
ACM RESEARCH INC.,20.69,4.87%,20.24,20.7,20,"87,059",4/24/2025
ACNB CORP.,41.28,-0.91%,41.88,41.88,41.28,"2,874",4/24/2025
ACRIVON THERAPEUTICS INC.,1.93,-3.50%,2,2,1.87,"44,950",4/24/2025
ACTELIS NETWORKS INC.,0.68,1.48%,0.7,0.7,0.68,"9,160",4/24/2025
ACUMEN PHARMACEUTICALS INC.,1,-1.96%,1.04,1.04,1,"27,322",4/24/2025
ACURX PHARMACEUTICALS INC.,0.3878,0.21%,0.39,0.39,0.3871,"14,161",4/24/2025
ADAGENE INC. ADS,1.41,-4.73%,1.41,1.41,1.41,100,4/24/2025
ADAGIO MEDICAL HLD.,1.15,3.60%,1.07,1.16,1.07,"23,770",4/24/2025
ADAPTHEALTH CORP.,7.84,1.42%,7.73,7.85,7.58,"49,916",4/24/2025
ADAPTIMMUNE THERAPEUTICS PLC ADS,0.2617,0.58%,0.2598,0.2674,0.2598,"23,773",4/24/2025
ADAPTIVE BIOTECHNOLOGIES,7.48,1.36%,7.36,7.48,7.26,"62,572",4/24/2025
ADDENTAX GROUP CORP.,0.625,0.00%,0.6625,0.6625,0.625,"1,128",4/24/2025
ADDEX THERAPEUTICS LTD ADS,7.6,0.00%,7.6,7.6,7.6,826,4/24/2025
ADDUS HOMECARE CORP.,99.5,0.65%,99.56,99.56,98.87,"1,118",4/24/2025
ADEIA INC.,12.12,1.25%,11.97,12.16,11.89,"18,697",4/24/2025
ADIAL PHARMACEUTICALS INC,0.711,1.56%,0.74,0.74,0.711,848,4/24/2025
ADICET BIO INC.,0.61,1.43%,0.6163,0.6163,0.6,"3,747",4/24/2025
ADITXT INC.,2.34,1.30%,2.34,2.35,2.29,"21,357",4/24/2025
ADLAI NORTYE,2,0.00%,2.03,2.03,1.99,"8,989",4/24/2025
ADMA BIOLOGICS INC,22.04,1.43%,21.82,22.29,21.8,"304,265",4/24/2025
ADOBE INC.,357.79,1.66%,353.59,357.79,353.24,"248,591",4/24/2025
ADS-TEC ENERGY PLC,12.86,0.70%,12.74,12.92,12.74,659,4/24/2025
ADTRAN HOLDINGS INC.,7.66,2.00%,7.57,7.66,7.5,"9,722",4/24/2025
ADURO CLEAN TECHNOLOGIES INC.,4.37,2.10%,4.28,4.38,4.28,650,4/24/2025
ADVANCED BIOMED INC.,1.9,0.00%,1.9,1.9,1.9,282,4/24/2025
ADVANCED ENERGY INDUSTRIES,94.24,3.01%,92.89,94.25,92.89,"3,348",4/24/2025
ADVANCED FLOWER CAPITAL INC.,5.18,-0.58%,5.2,5.23,5.18,"3,817",4/24/2025
ADVANCED MICRO DEVICES INC.,92.38,2.20%,91.59,92.56,90.37,"4,852,423",4/24/2025
ADVANTAGE SOLUTIONS INC.,1.32,0.76%,1.32,1.33,1.28,"7,056",4/24/2025
ADVENT TECHNOLOGIES HLD.,2.06,-2.83%,2.12,2.2,2.05,"4,813",4/24/2025
ADVERUM BIOTECHNOLOGIES INC.,3,5.26%,2.87,3.11,2.85,"154,252",4/24/2025
AEHR TEST SYSTEMS,8.48,4.43%,8.28,8.49,8.24,"46,651",4/24/2025
AELUMA INC.,7.26,4.46%,6.99,7.45,6.92,"5,037",4/24/2025
AEMETIS INC,1.37,-0.72%,1.37,1.4,1.37,"76,542",4/24/2025
AERIES TECHNOLOGY INC.  ORD.,0.74,0.00%,0.71,0.7849,0.71,"43,180",4/24/2025
AEROVATE THERAPEUTICS INC.,2.7,-1.46%,2.74,2.74,2.66,"157,440",4/24/2025
AEROVIRONMENT INC.,145.3,-0.62%,145.94,147.61,142.2,"12,250",4/24/2025
AERSALE CORP.,6.43,-0.77%,6.45,6.49,6.38,"28,150",4/24/2025
AETHER HOLDINGS INC.,5.9,-5.45%,6.3,6.39,5.88,"9,251",4/24/2025
AETHLON MEDICAL INC.,0.3798,-0.05%,0.38,0.38,0.37,758,4/24/2025
AEVA TECHNOLOGIES INC.,6.82,1.19%,6.74,6.98,6.65,"42,709",4/24/2025
AEYE INC.,0.72,4.35%,0.71,0.729,0.7036,"38,747",4/24/2025
AFFIMED N.V.,0.79,2.56%,0.78,0.79,0.7771,"2,070",4/24/2025
AFFINITY BANCSHARES INC.,18.66,0.27%,18.66,18.66,18.66,154,4/24/2025
AFFIRM HOLDINGS INC.,47.88,2.22%,47.3,48.27,47.24,"813,133",4/24/2025
AFYA LTD.,18.44,0.22%,18.36,18.44,18.28,"8,381",4/24/2025
AGAPE ATP CORP.,2.24,-5.49%,2.25,2.3,2.18,"25,296",4/24/2025
AGENUS INC.,2.84,-0.35%,2.85,2.86,2.72,"82,304",4/24/2025
AGILYSYS INC.,71.43,1.52%,70.72,72.2,70.4,"3,250",4/24/2025
AGIOS PHARMACEUTICALS INC.,28.5,0.46%,28.3,28.65,28.04,"8,099",4/24/2025
AGM GROUP HOLDINGS INC.,0.041,-29.31%,0.0397,0.0422,0.039,"5,231,040",4/24/2025
AGNC INVESTMENT,24.3,0.45%,24.26,24.3,24.23,"1,381",4/24/2025
AGNC INVESTMENT,24.49,0.57%,24.49,24.49,24.49,319,4/24/2025
AGNC INVESTMENT,24.84,0.36%,24.84,24.84,24.84,775,4/24/2025
AGNC INVESTMENT,8.62,0.12%,8.63,8.65,8.52,"2,286,993",4/24/2025
AGNC INVESTMENT,25.2,0.00%,25.26,25.38,25.2,"10,065",4/24/2025
AGNC INVESTMENT,24.39,0.16%,24.46,24.46,24.39,"1,345",4/24/2025
AGORA INC. ADS,3.12,6.48%,2.98,3.18,2.98,"138,306",4/24/2025
AGRICULTURE & NATURAL SOLUTIONS ACQUISI,10.67,0.00%,10.7,10.7,10.67,"5,381",4/24/2025
AGRICULTURE & NATURAL SOLUTIONS ACQUISI,10.75,0.00%,10.75,10.75,10.75,806,4/24/2025
AGRIFORCE  GROWING SYSTEMS,1.85,-13.95%,1.89,1.98,1.81,"169,196",4/24/2025
AGRIFY CORP.,16.05,1.01%,15.39,16.11,15.39,"1,301",4/24/2025
AI TRANSPORTATION ACQUISITION CORP,11,0.00%,11,11,11,"2,295",4/24/2025
