Name,Current price,Change(%),Open,High,Low,Volume,date
1-800-FLOWERS.COM INC.,4.95,+3.34%,4.86,4.99,4.86,"133,807",2025-05-29
10X GENOMICS INC.,8.93,+0.79%,8.94,9.07,8.81,"408,059",2025-05-29
111 INC. ADS,7.90,+0.00%,8.00,8.00,7.90,"48,915",2025-05-29
17 EDUCATION & TECHNOLOGY GROUP,2.05,+2.50%,2.03,2.05,2.03,600,2025-05-29
180 LIFE SCIENCES,1.06,+0.95%,1.05,1.08,1.05,"3,276",2025-05-29
1ST SOURCE CORP.,60.30,-0.68%,60.76,61.46,59.94,"6,105",2025-05-29
1STDIBS.COM INC.,2.43,+0.83%,2.42,2.55,2.40,"9,968",2025-05-29
22ND CENTURY GROUP INC,0.7720,-0.35%,0.7785,0.7878,0.7600,"93,689",2025-05-29
2SEVENTY BIO INC.,5.00,+0.00%,5.00,5.01,4.99,"1,158,184",2025-05-29
3 E NETWORK TECHNOLOGY GROUP LTD,3.69,+4.83%,3.55,3.70,3.55,"7,502",2025-05-29
36KR HOLDINGS INC. ADS,5.91,+0.00%,5.82,5.98,5.80,"1,979",2025-05-29
374WATER INC.,0.4900,+3.16%,0.4290,0.5423,0.4149,"718,574",2025-05-29
4D MOLECULAR THERAPEUTICS INC.,3.62,+4.32%,3.48,3.65,3.42,"73,335",2025-05-29
5E ADVANCED MATERIALS INC.,4.11,-6.16%,4.18,4.18,4.10,550,2025-05-29
60 DEGREES PHARMACEUTICALS,2.40,+4.35%,2.30,2.40,2.30,"10,491",2025-05-29
89BIO INC.,9.51,+3.03%,9.34,9.56,9.11,"193,151",2025-05-29
8X8 INC,1.65,+2.48%,1.62,1.66,1.61,"164,209",2025-05-29
908 DEVICES INC.,5.80,-2.68%,6.08,6.27,5.74,"201,429",2025-05-29
9F INC. ADS,1.33,-0.75%,1.33,1.33,1.33,100,2025-05-29
A SPAC III ACQUISITION,0.2000,+0.00%,0.2000,0.2000,0.2000,652,2025-05-29
A SPAC III ACQUISITION,10.31,+0.00%,10.31,10.31,10.31,144,2025-05-29
A-MARK PRECIOUS METALS INC.,19.98,+0.05%,20.15,20.26,19.93,"22,506",2025-05-29
A2Z CUST2MATE SOLUTIONS,9.05,-4.13%,9.50,9.50,9.00,"18,350",2025-05-29
AAON INC.,96.71,-0.43%,98.34,98.34,96.16,"40,825",2025-05-29
AARDVARK THERAPEUTICS INC.,10.57,+3.53%,10.23,10.70,10.23,"1,630",2025-05-29
ABACUS GLOBAL MANAGEMENT,25.42,+0.00%,25.42,25.42,25.40,314,2025-05-29
ABACUS GLOBAL MANAGEMENT INC.,7.85,-0.13%,7.86,7.97,7.82,"59,001",2025-05-29
ABCELLERA BIOLOGICS INC.,2.06,+0.98%,2.06,2.08,2.00,"392,842",2025-05-29
ABEONA THERAPEUTICS INC.,5.95,-0.67%,6.01,6.20,5.93,"537,806",2025-05-29
ABITS GROUP INC,4.11,+0.74%,4.14,4.21,4.01,"5,556",2025-05-29
ABIVAX SA ADS,5.83,+2.64%,5.74,5.96,5.70,"39,964",2025-05-29
ABLE VIEW GLOBAL INC.,1.16,+5.45%,1.11,1.16,1.11,"1,400",2025-05-29
ABOVE FOOD INGREDIENTS INC.,1.12,-2.61%,1.15,1.20,1.10,"43,034",2025-05-29
ABPRO HOLDINGS INC,0.2374,-7.45%,0.2496,0.2496,0.2328,"615,628",2025-05-29
ABSCI CORP.,2.78,+1.46%,2.80,2.81,2.66,"744,540",2025-05-29
ABVC BIOPHARMA INC.,1.38,+0.73%,1.38,1.40,1.36,"25,812",2025-05-29
AC IMMUNE SA,1.73,+2.98%,1.70,1.75,1.70,"13,647",2025-05-29
ACACIA RESEARCH,3.83,+0.00%,3.87,3.87,3.81,"12,860",2025-05-29
ACADEMY SPORTS AND OUTDOORS,40.79,-0.44%,41.81,41.85,40.79,"175,448",2025-05-29
ACADIA HEALTHCARE CO.,22.76,+0.04%,23.02,23.22,22.72,"66,834",2025-05-29
ACADIA PHARMACEUTICALS INC.,22.19,+0.77%,22.19,22.22,21.96,"105,438",2025-05-29
ACCURAY INC.,1.63,+2.52%,1.61,1.64,1.58,"291,223",2025-05-29
ACELYRIN INC.,2.27,+0.00%,2.24,2.36,2.20,"4,076,542",2025-05-29
ACHIEVE LIFE SCIENCES INC.,3.30,+4.76%,3.19,3.32,3.10,"78,394",2025-05-29
ACI WORLDWIDE INC.,46.06,-0.43%,46.65,46.65,45.94,"55,520",2025-05-29
ACLARION INC.,6.91,+0.29%,6.80,6.92,6.80,"3,366",2025-05-29
ACLARIS THERAPEUTICS INC.,1.39,-1.42%,1.44,1.46,1.39,"183,015",2025-05-29
ACM RESEARCH INC.,22.78,+0.31%,23.40,23.63,22.55,"118,801",2025-05-29
ACNB CORP.,41.80,+0.41%,42.67,42.74,41.50,"1,100",2025-05-29
ACRIVON THERAPEUTICS INC.,1.12,+1.82%,1.11,1.14,1.10,"160,097",2025-05-29
ACTELIS NETWORKS INC.,0.6665,-11.13%,0.6706,0.6800,0.6436,"306,904",2025-05-29
ACUMEN PHARMACEUTICALS INC.,1.02,+0.00%,1.02,1.04,1.01,"48,515",2025-05-29
ACURX PHARMACEUTICALS INC.,0.3851,-0.75%,0.3880,0.3940,0.3850,"32,926",2025-05-29
ADAGENE INC. ADS,1.82,-1.62%,1.80,1.97,1.80,"6,840",2025-05-29
ADAGIO MEDICAL HLD.,1.14,-0.87%,1.17,1.17,1.14,616,2025-05-29
ADAPTHEALTH CORP.,8.89,-2.09%,9.07,9.24,8.87,"76,055",2025-05-29
ADAPTIMMUNE THERAPEUTICS PLC ADS,0.2774,+2.32%,0.2766,0.2824,0.2617,"106,439",2025-05-29
ADAPTIVE BIOTECHNOLOGIES,9.60,+4.92%,9.18,9.60,9.05,"369,547",2025-05-29
ADDENTAX GROUP CORP.,0.7341,+6.39%,0.6668,0.7671,0.6600,"277,570",2025-05-29
ADDEX THERAPEUTICS LTD ADS,7.57,-9.88%,7.57,7.57,7.57,411,2025-05-29
ADDUS HOMECARE CORP.,113.72,+0.40%,113.79,115.20,113.23,"10,700",2025-05-29
ADEIA INC.,12.87,-0.08%,12.94,12.98,12.81,"19,402",2025-05-29
ADIAL PHARMACEUTICALS INC,0.6819,+0.28%,0.7000,0.7200,0.6657,"23,931",2025-05-29
ADICET BIO INC.,0.6532,+0.03%,0.6510,0.6697,0.6500,"44,418",2025-05-29
ADITXT INC.,1.63,-3.55%,1.70,1.70,1.63,"39,094",2025-05-29
ADLAI NORTYE,1.80,-4.26%,1.80,1.80,1.80,922,2025-05-29
ADMA BIOLOGICS INC,19.78,+1.38%,19.63,19.80,19.40,"323,347",2025-05-29
ADOBE INC.,413.85,+0.39%,414.00,415.42,411.80,"180,723",2025-05-29
ADS-TEC ENERGY PLC,12.60,-3.00%,12.44,12.96,12.44,"5,213",2025-05-29
ADTRAN HOLDINGS INC.,8.10,-0.61%,8.24,8.24,7.99,"89,934",2025-05-29
ADURO CLEAN TECHNOLOGIES INC.,8.28,-1.31%,8.30,8.34,8.22,"17,373",2025-05-29
ADVANCED BIOMED INC.,1.17,+0.86%,1.17,1.20,1.17,"8,857",2025-05-29
