Name,Current price,Change(%),Open,High,Low,Volume,date
1-800-FLOWERS.COM INC.,5.85,-0.85%,5.9,5.9,5.8,"25,179",4/1/2025
10X GENOMICS INC.,8.56,-1.95%,8.66,8.78,8.54,"147,385",4/1/2025
111 INC. ADS,8.24,1.60%,8.01,8.24,8.01,340,4/1/2025
17 EDUCATION & TECHNOLOGY GROUP,1.84,-4.17%,1.83,1.9,1.83,"2,165",4/1/2025
180 LIFE SCIENCES,0.9601,-2.04%,0.99,1,0.9527,"14,456",4/1/2025
1ST SOURCE CORP.,59.42,-0.65%,59.2,60.66,58.82,"14,949",4/1/2025
1STDIBS.COM INC.,3.07,0.99%,3.04,3.07,2.99,"1,505",4/1/2025
22ND CENTURY GROUP INC,1.41,-2.08%,1.4,1.44,1.4,"2,264",4/1/2025
2SEVENTY BIO INC.,4.95,0.20%,4.95,4.95,4.94,"148,561",4/1/2025
3 E NETWORK TECHNOLOGY GROUP LTD,3.76,1.62%,3.7,3.76,3.62,"17,588",4/1/2025
36KR HOLDINGS INC. ADS,3.93,-1.50%,3.93,3.93,3.93,756,4/1/2025
374WATER INC.,0.3443,1.26%,0.35,0.351,0.33,"19,283",4/1/2025
4D MOLECULAR THERAPEUTICS INC.,3.02,-6.50%,3.21,3.23,3,"130,484",4/1/2025
5E ADVANCED MATERIALS INC.,3.98,3.92%,3.81,4.06,3.81,"1,599",4/1/2025
60 DEGREES PHARMACEUTICALS,1.79,-2.72%,1.79,1.82,1.79,"1,000",4/1/2025
89BIO INC.,6.81,-6.33%,7.12,7.15,6.78,"198,772",4/1/2025
8X8 INC,1.99,-0.50%,1.98,2.02,1.97,"54,824",4/1/2025
908 DEVICES INC.,4.38,-2.23%,4.48,4.57,4.12,"194,081",4/1/2025
9F INC. ADS,1.35,0.00%,1.39,1.39,1.29,"8,530",4/1/2025
A SPAC III ACQUISITION,0.1386,0.00%,0.1386,0.1386,0.1386,100,4/1/2025
A SPAC III ACQUISITION,10.21,0.00%,10.2,10.23,10.2,"4,676",4/1/2025
A-MARK PRECIOUS METALS INC.,25,-1.46%,25.24,25.45,25,"7,766",4/1/2025
A2Z CUST2MATE SOLUTIONS,7.02,-0.57%,7.5,7.5,6.85,"14,178",4/1/2025
AAON INC.,77.18,-1.22%,77.9,78.93,76.89,"18,719",4/1/2025
AARDVARK THERAPEUTICS INC.,7.6,1.20%,7.5,7.85,7.5,"4,371",4/1/2025
ABACUS GLOBAL MANAGEMENT,24.4,-0.12%,24.52,24.64,24.35,"11,377",4/1/2025
ABACUS GLOBAL MANAGEMENT INC.,7.49,0.00%,7.53,7.55,7.31,"8,589",4/1/2025
ABCELLERA BIOLOGICS INC.,2.18,-2.24%,2.23,2.23,2.16,"275,288",4/1/2025
ABEONA THERAPEUTICS INC.,4.6,-3.36%,4.74,4.74,4.56,"77,883",4/1/2025
ABITS GROUP INC,3.01,0.00%,3.28,3.28,3,"3,265",4/1/2025
ABIVAX SA ADS,6.06,-3.04%,6.26,6.26,6.05,"9,375",4/1/2025
ABLE VIEW GLOBAL INC.,0.9,0.00%,0.95,0.95,0.87,"6,115",4/1/2025
ABOVE FOOD INGREDIENTS INC.,0.5709,-3.87%,0.59,0.6762,0.5709,"84,122",4/1/2025
ABPRO HOLDINGS INC,0.414,0.00%,0.429,0.4419,0.414,"2,667",4/1/2025
ABSCI CORP.,2.38,-5.18%,2.52,2.53,2.36,"626,741",4/1/2025
ABVC BIOPHARMA INC.,1.26,18.87%,1.14,1.32,1.11,"581,006",4/1/2025
AC IMMUNE SA,1.81,-3.21%,1.85,1.94,1.81,"25,089",4/1/2025
ACACIA RESEARCH,3.23,0.94%,3.19,3.24,3.14,"186,770",4/1/2025
ACADEMY SPORTS AND OUTDOORS,46.35,1.62%,45.65,46.74,45.6,"75,093",4/1/2025
ACADIA HEALTHCARE CO.,29.67,-2.14%,30.44,30.44,29.37,"159,178",4/1/2025
ACADIA PHARMACEUTICALS INC.,16.37,-1.44%,16.56,16.64,16.23,"50,026",4/1/2025
ACCELERATE DIAGNOSTICS INC.,0.7,-0.14%,0.7,0.74,0.7,"1,728",4/1/2025
ACCOLADE INC.,6.99,0.14%,6.99,7,6.99,"50,261",4/1/2025
ACCURAY INC.,1.77,-1.12%,1.76,1.8,1.76,"155,553",4/1/2025
ACELYRIN INC.,2.45,-0.81%,2.47,2.54,2.43,"29,751",4/1/2025
ACHIEVE LIFE SCIENCES INC.,2.62,-1.87%,2.67,2.75,2.62,"10,810",4/1/2025
ACHILLES THERAPEUTICS PLC ADS,1.48,0.00%,1.48,1.5,1.45,"1,204,122",4/1/2025
ACI WORLDWIDE INC.,54.92,0.38%,54.39,55.03,54.09,"61,829",4/1/2025
ACLARION INC.,11.13,3.06%,10.69,11.51,10.69,"18,629",4/1/2025
ACLARIS THERAPEUTICS INC.,1.5,-1.96%,1.52,1.53,1.46,"46,519",4/1/2025
ACM RESEARCH INC.,23.18,-0.69%,23.23,23.72,23.05,"193,074",4/1/2025
