Name,Current price,Change(%),Open,High,Low,Volume,date
1-800-FLOWERS.COM INC.,5.27,-0.57%,5.53,5.53,5.2,"115,280",4/8/2025
10X GENOMICS INC.,7.51,-0.92%,7.98,8.15,7.48,"620,015",4/8/2025
111 INC. ADS,7.08,4.12%,7.06,7.09,6.64,"7,520",4/8/2025
17 EDUCATION & TECHNOLOGY GROUP,1.55,2.65%,1.51,1.59,1.51,"12,621",4/8/2025
180 LIFE SCIENCES,0.85,6.97%,0.78,0.87,0.78,"28,001",4/8/2025
1ST SOURCE CORP.,55.44,1.74%,56.33,56.33,55.39,"11,118",4/8/2025
1STDIBS.COM INC.,2.51,-2.71%,2.63,2.63,2.51,"31,384",4/8/2025
22ND CENTURY GROUP INC,1.04,-5.45%,1.19,1.2,1.01,"448,575",4/8/2025
2SEVENTY BIO INC.,4.96,0.20%,4.96,4.97,4.95,"371,330",4/8/2025
3 E NETWORK TECHNOLOGY GROUP LTD,3.3,-4.07%,3.52,3.65,3.28,"48,921",4/8/2025
36KR HOLDINGS INC. ADS,4,1.52%,4.11,4.11,4,"4,088",4/8/2025
374WATER INC.,0.2818,0.64%,0.28,0.2958,0.277,"132,843",4/8/2025
4D MOLECULAR THERAPEUTICS INC.,2.61,-1.51%,2.76,2.9,2.58,"300,525",4/8/2025
5E ADVANCED MATERIALS INC.,3.62,-1.63%,3.69,3.97,3.59,"3,046",4/8/2025
60 DEGREES PHARMACEUTICALS,2.96,64.44%,2.47,4.37,2.35,"43,921,103",4/8/2025
89BIO INC.,5.16,-6.01%,5.8,5.86,5.16,"307,294",4/8/2025
8X8 INC,1.68,-6.67%,1.88,1.88,1.67,"199,256",4/8/2025
908 DEVICES INC.,3.76,-1.31%,3.95,3.97,3.71,"81,083",4/8/2025
9F INC. ADS,1.21,0.00%,1.2,1.21,1.19,627,4/8/2025
A SPAC III ACQUISITION,0.13,0.00%,0.145,0.1468,0.1278,"98,171",4/8/2025
A SPAC III ACQUISITION,10.24,0.29%,10.22,10.24,10.22,913,4/8/2025
A-MARK PRECIOUS METALS INC.,21.7,2.94%,21.68,22.23,21.64,"43,783",4/8/2025
