Name,Current price,Change(%),Open,High,Low,Volume,date
1-800-FLOWERS.COM INC.,4.91,2.08%,4.82,4.96,4.73,"63,574",6/3/2025
10X GENOMICS INC.,9.31,-1.48%,9.47,9.48,8.96,"655,223",6/3/2025
111 INC. ADS,8.36,2.70%,8.16,8.46,8.16,"1,017",6/3/2025
17 EDUCATION & TECHNOLOGY GROUP,2.03,-3.33%,2.02,2.03,2.02,900,6/3/2025
180 LIFE SCIENCES,1.07,0.94%,1.04,1.07,1.01,"2,200",6/3/2025
1ST SOURCE CORP.,60.28,0.13%,60.04,60.37,59.9,"4,978",6/3/2025
1STDIBS.COM INC.,2.51,0.40%,2.49,2.51,2.37,"9,279",6/3/2025
22ND CENTURY GROUP INC,0.7432,-1.95%,0.76,0.7771,0.735,"55,769",6/3/2025
2SEVENTY BIO INC.,5,0.00%,5,5.01,4.99,"1,158,184",6/3/2025
3 E NETWORK TECHNOLOGY GROUP LTD,3.24,-2.99%,3.33,3.33,3.22,"15,289",6/3/2025
36KR HOLDINGS INC. ADS,5.78,-0.69%,5.78,5.78,5.78,"2,884",6/3/2025
374WATER INC.,0.5499,0.42%,0.55,0.5584,0.49,"197,228",6/3/2025
4D MOLECULAR THERAPEUTICS INC.,3.88,3.47%,3.78,3.88,3.71,"65,349",6/3/2025
5E ADVANCED MATERIALS INC.,4.25,-1.85%,4.25,4.25,4.25,350,6/3/2025
60 DEGREES PHARMACEUTICALS,2.76,-2.13%,2.97,2.97,2.7,"10,723",6/3/2025
89BIO INC.,10.35,2.37%,10.11,10.39,9.67,"165,817",6/3/2025
8X8 INC,1.66,3.75%,1.61,1.67,1.59,"229,133",6/3/2025
908 DEVICES INC.,6.04,1.51%,5.98,6.04,5.86,"36,523",6/3/2025
9F INC. ADS,1.36,0.74%,1.34,1.36,1.34,"1,154",6/3/2025
A SPAC III ACQUISITION,10.31,0.00%,10.31,10.31,10.31,144,6/3/2025
A SPAC III ACQUISITION,0.2,0.00%,0.2,0.2,0.2,652,6/3/2025
