Name,Current price,Change(%),Open,High,Low,Volume,date
1-800-FLOWERS.COM INC.,4.86,-1.22%,4.88,4.92,4.77,"69,871",6/2/2025
10X GENOMICS INC.,9.71,1.89%,9.61,9.73,9.47,"674,375",6/2/2025
111 INC. ADS,7.87,-3.67%,7.87,7.87,7.87,585,6/2/2025
17 EDUCATION & TECHNOLOGY GROUP,2.1,0.96%,2.1,2.1,2.09,"2,600",6/2/2025
180 LIFE SCIENCES,1.07,4.90%,1.04,1.09,1.02,"9,640",6/2/2025
1ST SOURCE CORP.,60.11,-0.74%,60.6,61.67,59.67,"2,595",6/2/2025
1STDIBS.COM INC.,2.51,0.00%,2.5,2.53,2.41,"36,608",6/2/2025
22ND CENTURY GROUP INC,0.736,-1.87%,0.755,0.755,0.7312,"31,906",6/2/2025
2SEVENTY BIO INC.,5,0.00%,5,5.01,4.99,"1,158,184",6/2/2025
3 E NETWORK TECHNOLOGY GROUP LTD,3.44,-2.82%,3.55,3.55,3.44,"14,224",6/2/2025
36KR HOLDINGS INC. ADS,5.8,0.00%,5.81,5.81,5.8,"3,202",6/2/2025
374WATER INC.,0.4669,7.48%,0.46,0.4881,0.4223,"179,179",6/2/2025
4D MOLECULAR THERAPEUTICS INC.,3.7,2.21%,3.63,3.71,3.55,"41,293",6/2/2025
5E ADVANCED MATERIALS INC.,4.35,-1.14%,4.4,4.41,4.02,"1,503",6/2/2025
60 DEGREES PHARMACEUTICALS,2.66,3.10%,2.56,2.67,2.56,"24,394",6/2/2025
89BIO INC.,10.07,2.34%,9.9,10.32,9.86,"421,549",6/2/2025
8X8 INC,1.59,-3.05%,1.64,1.64,1.56,"276,983",6/2/2025
908 DEVICES INC.,6,5.63%,5.45,6,5.45,"53,044",6/2/2025
9F INC. ADS,1.43,2.88%,1.43,1.43,1.43,100,6/2/2025
A SPAC III ACQUISITION,0.2,0.00%,0.2,0.2,0.2,652,6/2/2025
A SPAC III ACQUISITION,10.31,0.00%,10.31,10.31,10.31,144,6/2/2025
A-MARK PRECIOUS METALS INC.,20.05,1.62%,19.65,20.09,19.65,"23,376",6/2/2025
A2Z CUST2MATE SOLUTIONS,8.8,-6.68%,9.35,9.35,8.66,"50,794",6/2/2025
AAON INC.,94.4,-1.96%,96,97.19,93.21,"43,617",6/2/2025
AARDVARK THERAPEUTICS INC.,11,5.36%,10.72,11.04,10.72,"4,621",6/2/2025
ABACUS GLOBAL MANAGEMENT,25.44,-0.08%,25.46,25.64,25.43,"1,331",6/2/2025
ABACUS GLOBAL MANAGEMENT INC.,7.55,-2.33%,7.78,7.97,7.55,"89,182",6/2/2025
ABCELLERA BIOLOGICS INC.,2.1,3.96%,2.02,2.11,2.02,"816,918",6/2/2025
ABEONA THERAPEUTICS INC.,6.41,2.72%,6.31,6.54,6.24,"193,632",6/2/2025
ABITS GROUP INC,4.1,0.00%,3.98,4.4,3.98,"7,876",6/2/2025
ABIVAX SA ADS,6.22,3.32%,6.14,6.47,6.14,"72,385",6/2/2025
ABLE VIEW GLOBAL INC.,1.22,3.39%,1.27,1.27,1.22,528,6/2/2025
ABOVE FOOD INGREDIENTS INC.,1.06,-7.83%,1.12,1.12,1.05,"16,767",6/2/2025
ABPRO HOLDINGS INC,0.213,-0.33%,0.2011,0.213,0.201,"408,997",6/2/2025
ABSCI CORP.,2.72,2.64%,2.68,2.78,2.63,"713,350",6/2/2025
ABVC BIOPHARMA INC.,1.54,12.41%,1.38,1.6,1.38,"133,923",6/2/2025
AC IMMUNE SA,1.71,0.00%,1.7,1.8,1.68,"19,901",6/2/2025
ACACIA RESEARCH,3.74,0.27%,3.74,3.77,3.7,"9,084",6/2/2025
ACADEMY SPORTS AND OUTDOORS,40.13,-1.91%,40.64,40.67,39.87,"116,846",6/2/2025
ACADIA HEALTHCARE CO.,21.73,-4.02%,22.55,22.78,21.6,"148,464",6/2/2025
ACADIA PHARMACEUTICALS INC.,21.3,-1.25%,21.57,21.73,21.09,"177,689",6/2/2025
ACCURAY INC.,1.54,0.65%,1.51,1.55,1.49,"170,704",6/2/2025
ACELYRIN INC.,2.27,0.00%,2.24,2.36,2.2,"4,076,542",6/2/2025
ACHIEVE LIFE SCIENCES INC.,3.7,3.35%,3.6,3.71,3.5,"88,780",6/2/2025
ACI WORLDWIDE INC.,45.76,-1.08%,45.95,46.47,45.3,"76,396",6/2/2025
ACLARION INC.,6.43,-0.77%,6.34,6.5,6.3,"5,065",6/2/2025
ACLARIS THERAPEUTICS INC.,1.46,0.00%,1.47,1.53,1.42,"220,001",6/2/2025
ACM RESEARCH INC.,22.41,-0.62%,22.43,22.75,22.23,"95,076",6/2/2025
ACNB CORP.,41.08,-1.18%,41.08,41.08,41.08,100,6/2/2025
ACRIVON THERAPEUTICS INC.,1.1,4.76%,1.06,1.12,1.05,"246,462",6/2/2025
ACTELIS NETWORKS INC.,0.7095,4.35%,0.65,0.7095,0.65,"48,332",6/2/2025
ACUMEN PHARMACEUTICALS INC.,1,-1.96%,1.03,1.03,1,"32,110",6/2/2025
ACURX PHARMACEUTICALS INC.,0.3771,-2.96%,0.385,0.3929,0.3771,"60,485",6/2/2025
ADAGENE INC. ADS,1.95,0.52%,1.85,1.95,1.85,524,6/2/2025
ADAGIO MEDICAL HLD.,1.13,0.00%,1.13,1.14,1.11,"4,798",6/2/2025
ADAPTHEALTH CORP.,8.77,-2.34%,8.94,8.97,8.77,"77,149",6/2/2025
ADAPTIMMUNE THERAPEUTICS PLC ADS,0.2886,-1.33%,0.3,0.3,0.2809,"196,971",6/2/2025
ADAPTIVE BIOTECHNOLOGIES,9.54,0.21%,9.52,9.65,9.32,"201,242",6/2/2025
ADDENTAX GROUP CORP.,0.9606,6.73%,1.02,1.06,0.9,"1,257,928",6/2/2025
ADDEX THERAPEUTICS LTD ADS,8.09,0.87%,8.2,8.2,8.09,200,6/2/2025
ADDUS HOMECARE CORP.,110.6,-0.28%,110.83,111.1,109.38,"7,751",6/2/2025
ADEIA INC.,12.74,-0.78%,12.84,12.9,12.65,"50,121",6/2/2025
ADIAL PHARMACEUTICALS INC,0.6725,-1.82%,0.685,0.7,0.663,"39,007",6/2/2025
ADICET BIO INC.,0.7253,0.97%,0.7048,0.7299,0.6984,"140,583",6/2/2025
ADITXT INC.,1.37,-7.43%,1.5,1.53,1.35,"70,301",6/2/2025
ADLAI NORTYE,1.71,-6.04%,1.77,1.82,1.71,"2,521",6/2/2025
ADMA BIOLOGICS INC,19.95,0.55%,19.85,20.32,19.55,"295,667",6/2/2025
ADOBE INC.,400.47,-3.52%,408.88,410,400,"682,473",6/2/2025
ADS-TEC ENERGY PLC,12.32,-1.44%,12.75,12.75,12.06,"2,748",6/2/2025
ADTRAN HOLDINGS INC.,8.12,1.12%,8.06,8.15,7.9,"57,221",6/2/2025
ADURO CLEAN TECHNOLOGIES INC.,8.5,3.03%,8.18,8.5,8.03,"55,866",6/2/2025
ADVANCED BIOMED INC.,1.04,0.97%,1.09,1.09,0.98,"15,896",6/2/2025
ADVANCED ENERGY INDUSTRIES,114.29,-0.43%,114.32,115.09,112.72,"12,444",6/2/2025
ADVANCED FLOWER CAPITAL INC.,4.98,0.40%,4.98,4.98,4.93,"13,230",6/2/2025
ADVANCED MICRO DEVICES INC.,112.82,1.89%,111.06,113.82,111.01,"9,380,911",6/2/2025
ADVANTAGE SOLUTIONS INC.,1.21,1.68%,1.18,1.24,1.18,"108,607",6/2/2025
ADVENT TECHNOLOGIES HLD.,2.5,2.04%,2.52,2.64,2.41,"5,394",6/2/2025
ADVERUM BIOTECHNOLOGIES INC.,2.33,4.95%,2.25,2.33,2.23,"24,373",6/2/2025
AEHR TEST SYSTEMS,9.51,-0.31%,9.52,9.69,9.38,"75,104",6/2/2025
AELUMA INC.,14.89,4.42%,14.18,15.55,14.07,"97,888",6/2/2025
AEMETIS INC,1.73,1.17%,1.71,1.73,1.63,"146,000",6/2/2025
AERIES TECHNOLOGY INC.  ORD.,0.6599,9.60%,0.6599,0.6599,0.6599,124,6/2/2025
AEROVIRONMENT INC.,179.32,0.72%,183,188,179.32,"120,697",6/2/2025
AERSALE CORP.,5.89,0.00%,5.87,5.98,5.87,"67,023",6/2/2025
AETHER HOLDINGS INC.,17,3.79%,16.36,17.05,16.3,"14,636",6/2/2025
AETHLON MEDICAL INC.,0.3618,-3.26%,0.38,0.38,0.3618,"14,290",6/2/2025
AEVA TECHNOLOGIES INC.,17.11,-6.35%,17.99,18,16.6,"471,580",6/2/2025
AEYE INC.,0.7,-0.99%,0.71,0.7284,0.7,"35,454",6/2/2025
AFFINITY BANCSHARES INC.,18.24,0.77%,18.1,18.24,18.1,770,6/2/2025
AFFIRM HOLDINGS INC.,51.77,-0.25%,52,52.6,50.58,"620,483",6/2/2025
AFYA LTD.,18.35,0.66%,18.27,18.72,17.94,"11,669",6/2/2025
AGAPE ATP CORP.,1.65,-4.62%,1.71,1.71,1.63,"26,776",6/2/2025
AGENUS INC.,4.03,17.49%,3.51,4.03,3.46,"608,478",6/2/2025
AGILYSYS INC.,106.98,1.01%,105.75,107.35,104.51,"22,774",6/2/2025
AGIOS PHARMACEUTICALS INC.,33.02,2.90%,32.29,33.48,32.28,"125,284",6/2/2025
AGM GROUP HOLDINGS INC.,0.0597,-0.50%,0.0614,0.062,0.059,"1,181,247",6/2/2025
AGNC INVESTMENT,24.8,0.40%,24.76,24.85,24.76,"10,523",6/2/2025
AGNC INVESTMENT,8.85,-1.01%,8.9,8.91,8.8,"6,829,114",6/2/2025
AGNC INVESTMENT,25.32,-0.35%,25.46,25.55,25.32,"3,549",6/2/2025
AGNC INVESTMENT,24.63,0.12%,24.65,24.65,24.63,"1,569",6/2/2025
AGNC INVESTMENT,25.17,-0.16%,25.25,25.25,25.17,"10,550",6/2/2025
AGNC INVESTMENT,24.48,0.00%,24.7,24.71,24.4,"32,583",6/2/2025
AGORA INC. ADS,3.51,-1.96%,3.54,3.56,3.43,"111,171",6/2/2025
AGRICULTURE & NATURAL SOLUTIONS ACQUISI,10.75,0.00%,10.75,10.75,10.75,"29,226",6/2/2025
AGRICULTURE & NATURAL SOLUTIONS ACQUISI,10.77,0.00%,10.78,10.78,10.77,200,6/2/2025
AGRIFORCE  GROWING SYSTEMS,1.43,-2.05%,1.45,1.5,1.42,"27,452",6/2/2025
AGRIFY CORP.,26.3,-4.43%,27.75,28.11,26.3,"1,231",6/2/2025
AIFEEX NEXUS ACQUISITION,10.27,0.00%,10.33,10.33,10.27,326,6/2/2025
AIFEEX NEXUS ACQUISITION,0.2001,0.00%,0.2044,0.2044,0.2001,301,6/2/2025
AIFEEX NEXUS ACQUISITION,10.15,0.00%,10.15,10.15,10.15,464,6/2/2025
AIFU INC.  ORDINARY SHARE,2.24,-5.08%,2.3,2.3,2.2,"20,176",6/2/2025
AIMEI HEALTH TECHNOLOGY CO. LTD ORD.,11.14,0.00%,11.1,11.16,11.1,"34,417",6/2/2025
AIMEI HEALTH TECHNOLOGY CO. LTD RIGHT,0.27,0.00%,0.2785,0.2785,0.27,"1,000",6/2/2025
AIMEI HEALTH TECHNOLOGY CO. LTD UNIT,11.25,0.00%,11.39,11.39,11.21,"1,726",6/2/2025
AINOS INC.,0.6418,-4.92%,0.658,0.66,0.6286,"38,426",6/2/2025
AIR T,16.96,-1.68%,16.96,16.96,16.96,439,6/2/2025
AIR T INC.,18.01,0.00%,18.01,18.01,18.01,517,6/2/2025
AIRBNB INC.,128.75,-0.19%,128.85,129.77,127.99,"595,741",6/2/2025
AIRGAIN INC.,4.03,0.75%,3.98,4.06,3.98,902,6/2/2025
AIRJOULE TECHNOLOGIES,4.01,4.43%,3.81,4.1,3.81,"12,144",6/2/2025
AIRNET TECHNOLOGY INC. ORD.,0.778,3.76%,0.7455,0.8,0.702,"8,925",6/2/2025
AIRSCULPT TECHNOLOGIES INC.,4.32,-2.04%,4.44,4.44,4.2,"75,981",6/2/2025
AIRSHIP AI HOLDINGS INC,4.81,-6.60%,5.15,5.23,4.78,"437,018",6/2/2025
AKAMAI TECHNOLOGIES INC.,75.52,-0.54%,75.56,75.81,74.69,"104,883",6/2/2025
AKANDA CORP.,1.2,0.84%,1.2,1.2,1.17,"7,154",6/2/2025
AKARI THERAPEUTICS PLC ADS,1.35,0.00%,1.35,1.4,1.27,"5,361",6/2/2025
AKEBIA THERAPEUTICS INC.,3.07,1.32%,3.06,3.1,2.97,"929,721",6/2/2025
AKERO THERAPEUTICS INC.,49.78,0.26%,49.75,51.32,48.65,"174,173",6/2/2025
AKOYA BIOSCIENCES INC.,1.22,-2.40%,1.21,1.25,1.21,"56,389",6/2/2025
AKSO HEALTH GROUP ADS,1.54,6.21%,1.54,1.54,1.54,110,6/2/2025
ALARM.COM HOLDINGS INC.,57.42,0.03%,57.03,57.48,56.62,"37,101",6/2/2025
