Name,Current price,Change(%),Open,High,Low,Volume,date
1-800-FLOWERS.COM INC.,5.06,3.05%,4.93,5.06,4.9,"79,948",6/5/2025
10X GENOMICS INC.,9.43,0.96%,9.42,9.46,9.18,"434,388",6/5/2025
111 INC. ADS,8,-2.44%,8,8.1,7.8,"23,732",6/5/2025
17 EDUCATION & TECHNOLOGY GROUP,2,2.56%,2.07,2.1,2,"5,400",6/5/2025
180 LIFE SCIENCES,1.06,-0.93%,1.09,1.09,1.03,"10,175",6/5/2025
1ST SOURCE CORP.,59.89,-0.12%,60.01,60.46,59.44,"5,200",6/5/2025
1STDIBS.COM INC.,2.63,0.77%,2.62,2.65,2.56,"14,248",6/5/2025
22ND CENTURY GROUP INC,0.736,-1.74%,0.73,0.765,0.73,"68,105",6/5/2025
2SEVENTY BIO INC.,5,0.00%,5,5.01,4.99,"1,158,184",6/5/2025
3 E NETWORK TECHNOLOGY GROUP LTD,3.08,0.33%,3.23,3.23,3.08,551,6/5/2025
36KR HOLDINGS INC. ADS,5.68,-1.22%,5.68,5.68,5.68,102,6/5/2025
374WATER INC.,0.435,2.06%,0.4149,0.44,0.4016,"203,899",6/5/2025
4D MOLECULAR THERAPEUTICS INC.,3.9,1.83%,3.77,3.9,3.76,"43,579",6/5/2025
5E ADVANCED MATERIALS INC.,4.15,0.48%,4.13,4.24,4.07,"1,195",6/5/2025
60 DEGREES PHARMACEUTICALS,3.06,6.99%,3.19,3.2,3.01,"120,496",6/5/2025
89BIO INC.,9.98,-0.80%,10.04,10.05,9.82,"470,626",6/5/2025
8X8 INC,1.79,2.29%,1.75,1.83,1.75,"496,839",6/5/2025
908 DEVICES INC.,6.73,-2.46%,7,7.08,6.61,"171,606",6/5/2025
9F INC. ADS,1.41,5.22%,1.41,1.41,1.41,253,6/5/2025
A SPAC III ACQUISITION,0.2,0.00%,0.2,0.2,0.2,652,6/5/2025
A SPAC III ACQUISITION,10.31,0.00%,10.33,10.33,10.31,500,6/5/2025
A-MARK PRECIOUS METALS INC.,20.54,0.69%,20.3,20.92,20.26,"58,150",6/5/2025
A2Z CUST2MATE SOLUTIONS,8.94,0.68%,8.94,9.15,8.6,"71,408",6/5/2025
AAON INC.,95.21,-0.42%,95.61,95.61,94.31,"34,069",6/5/2025
AARDVARK THERAPEUTICS INC.,11.72,0.17%,11.71,11.72,11.58,"2,240",6/5/2025
ABACUS GLOBAL MANAGEMENT,24.41,6.83%,24.01,24.5,24.01,"35,584",6/5/2025
ABACUS GLOBAL MANAGEMENT INC.,6.04,0.67%,6.34,6.34,5.77,"580,678",6/5/2025
ABCELLERA BIOLOGICS INC.,2.41,-0.41%,2.43,2.44,2.34,"1,445,586",6/5/2025
ABEONA THERAPEUTICS INC.,6.45,0.16%,6.44,6.58,6.3,"184,843",6/5/2025
ABITS GROUP INC,4.1,-4.43%,4.2,4.2,4.1,"1,168",6/5/2025
ABIVAX SA ADS,8.13,0.87%,8,8.13,7.88,"83,572",6/5/2025
ABLE VIEW GLOBAL INC.,1.25,-0.79%,1.2,1.27,1.2,"4,986",6/5/2025
ABOVE FOOD INGREDIENTS INC.,1.06,-4.50%,1.1,1.15,1.06,"55,141",6/5/2025
ABPRO HOLDINGS INC,0.207,-1.99%,0.2115,0.2145,0.205,"85,376",6/5/2025
